name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
GIGABYTE G5 MF5 RC555 i5 13500H (9RC55MF5FEIAA1VN0C0),GIGABYTE,Laptop,Đen,21190000.0,21190000.0,RAM 16 GB,SSD 512 GB,0,5,40
Dell Inspiron 15 3520 i5 1235U (N3520-i5U085W11SLU),Dell,Laptop,Bạc,14490000.0,14490000.0,RAM 8 GB,SSD 512 GB,0,5,951
Asus TUF Gaming A15 FA507NUR R7 7435HS (LP057W),Asus,Laptop,Xám,24690000.0,24690000.0,RAM 16 GB,SSD 512 GB,0,5,633
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN330W),Asus,Laptop,Xám,20490000.0,20490000.0,RAM 16 GB,SSD 512 GB,0,4.9,1500
Acer Aspire Lite 16 G2 AL16 52P 572A i5 1334U (NX.J2SSV.004),Acer,Laptop,Bạc,14290000.0,14290000.0,RAM 16 GB,SSD 512 GB,0,4.9,398
Lenovo Ideapad Slim 3 16IRH10 i5 13420H (83K20003VN),Lenovo,Laptop,Xám,17490000.0,17490000.0,RAM 24 GB,SSD 512 GB,0,5,129
HP Envy x360 14 fc0162TU Ultra 5 125U (AY8X1PA),HP,Laptop,Bạc,26890000.0,26890000.0,RAM 16 GB,SSD 512 GB,0,4.9,172
MSI Gaming Sword 16 HX B14VFKG i7 14700HX (045VN),MSI,Laptop,Xám,37690000.0,37690000.0,RAM 16 GB,SSD 1 TB,0,4.9,159
Asus Vivobook 15 OLED A1505VA i5 13500H (MA467W),Asus,Laptop,Đen,18190000.0,18190000.0,RAM 16 GB,SSD 512 GB,0,4.9,739
Asus Zenbook 14 OLED UX3402VA i5 13500H (KM657W),Asus,Laptop,Bạc,23190000.0,23190000.0,RAM 16 GB,SSD 512 GB,0,4.9,980
Dell Inspiron 14 5440 Core 7 150U (7FN5J),Dell,Laptop,Xanh Dương,24990000.0,24990000.0,RAM 16 GB,SSD 1 TB,0,5,875
