crawl_timestamp,price_date,gold_type,buy_price,sell_price,source
1744713449482,2025-02-28,DOJI HN,88500,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713449482,2025-02-28,DOJI SG,88500,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713449483,2025-02-28,BTMC SJC,88800,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713449483,2025-02-28,Phú Qúy SJC,88800,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713449483,2025-02-28,PNJ TP.HCM,89800,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713449484,2025-02-28,PNJ Hà Nội,89800,90500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714469553,2025-03-21,SJC,94700,97700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714469553,2025-03-21,DOJI HN,94700,97700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714469554,2025-03-21,DOJI SG,94700,97700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714469554,2025-03-21,BTMC SJC,95200,97700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714469554,2025-03-21,Phú Qúy SJC,94900,97700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714469554,2025-03-21,PNJ TP.HCM,96000,98500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714469554,2025-03-21,PNJ Hà Nội,96000,98500,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714473455,2025-03-22,SJC,94400,97400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714473455,2025-03-22,DOJI HN,94400,97400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714473455,2025-03-22,DOJI SG,94400,97400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714473455,2025-03-22,BTMC SJC,94800,97400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714473456,2025-03-22,Phú Qúy SJC,94600,97400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714473456,2025-03-22,PNJ TP.HCM,95700,98300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714473456,2025-03-22,PNJ Hà Nội,95700,98300,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713461463,2025-03-03,SJC,89000,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713461464,2025-03-03,DOJI HN,89000,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713461464,2025-03-03,DOJI SG,89000,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713461464,2025-03-03,BTMC SJC,89300,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713461465,2025-03-03,Phú Qúy SJC,89300,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713461465,2025-03-03,PNJ TP.HCM,90000,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713461465,2025-03-03,PNJ Hà Nội,90000,91000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713431607,2025-02-23,SJC,89400,91700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713431607,2025-02-23,DOJI HN,89400,91700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713431607,2025-02-23,DOJI SG,89400,91700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713431608,2025-02-23,BTMC SJC,89600,91700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713431608,2025-02-23,Phú Qúy SJC,89600,91700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713431608,2025-02-23,PNJ TP.HCM,90100,91700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713431609,2025-02-23,PNJ Hà Nội,90100,91700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714490030,2025-03-26,SJC,96700,98400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714490031,2025-03-26,DOJI HN,96700,98400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714490031,2025-03-26,DOJI SG,96700,98400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714490031,2025-03-26,BTMC SJC,96800,98400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714490031,2025-03-26,Phú Qúy SJC,96700,98400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714490032,2025-03-26,PNJ TP.HCM,96700,99000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714490032,2025-03-26,PNJ Hà Nội,96700,99000,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713485481,2025-03-09,SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713485482,2025-03-09,DOJI HN,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713485482,2025-03-09,DOJI SG,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713485482,2025-03-09,BTMC SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713485482,2025-03-09,Phú Qúy SJC,90900,92900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713485482,2025-03-09,PNJ TP.HCM,91700,93200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744713485483,2025-03-09,PNJ Hà Nội,91700,93200,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
crawl_timestamp,price_date,gold_type,buy_price,sell_price,source
1744714493313,2025-03-27,SJC,97400,98900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714493313,2025-03-27,DOJI HN,97400,98900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714493314,2025-03-27,DOJI SG,97400,98900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714493314,2025-03-27,BTMC SJC,97500,98900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714493314,2025-03-27,Phú Qúy SJC,97400,98900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714493314,2025-03-27,PNJ TP.HCM,97400,99400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714493315,2025-03-27,PNJ Hà Nội,97400,99400,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714514959,2025-04-02,SJC,99100,101800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714514960,2025-04-02,DOJI HN,99100,101800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714514960,2025-04-02,DOJI SG,99100,101800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714514960,2025-04-02,BTMC SJC,99100,101800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714514961,2025-04-02,Phú Qúy SJC,98700,101700,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714514961,2025-04-02,PNJ TP.HCM,99100,101800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714514961,2025-04-02,PNJ Hà Nội,99100,101800,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714545276,2025-04-10,SJC,100600,103600,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714545276,2025-04-10,DOJI HN,100600,103600,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714545276,2025-04-10,DOJI SG,100600,103600,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714545277,2025-04-10,BTMC SJC,100600,103600,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714545277,2025-04-10,Phú Qúy SJC,100000,103600,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714545277,2025-04-10,PNJ TP.HCM,99900,102900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
1744714545277,2025-04-10,PNJ Hà Nội,99900,102900,https://www.24h.com.vn/gia-vang-hom-nay-c425.html
